I3,I4,I5,rot x,rot y
-0.05,0.02,0,0.997956429,0.891022894
0,0,0,0.94200004,0.94200004
0.12,-0.04,0.01,0.808585755,1.115003146
0.54,-1.36,0.72,1.437756484,0.922693544
0.55,-1.21,0.67,1.10467316,1.068187471
0.67,-1.06,0.57,0.778554853,1.43285807
0.71,-1.71,0.84,1.820213035,0.930674167
0.72,-1.61,0.84,1.430931087,1.069817832
0.85,-1.66,0.91,1.088135132,1.40145846
0.86,-1.97,0.89,2.170455778,0.940636335
0.88,-1.91,0.92,1.820461815,1.08103135
0.94,-2.06,0.94,2.141248592,1.030119956
0.96,-1.95,1.52,0.718640129,2.51485401
0.96,-1.58,0.89,0.779901494,1.817163551
0.98,-2.18,0.92,2.43857264,0.944712375
1.04,-2.02,1.02,1.457889716,1.437543715
1.04,-1.88,1.21,0.783653476,2.14458919
1.12,-2.34,1,2.440212063,1.100263776
1.12,-2.02,1.1,1.061501892,1.824467662
1.13,-2.21,1.07,1.795593985,1.426547994
1.17,-2.44,1.7,1.024167883,2.50521191
1.19,-2.45,1.01,2.559573405,1.114465219
1.22,-2.24,1.13,1.450688816,1.732036288
1.24,-2.41,1.11,2.153277607,1.439119856
1.31,-2.28,1.22,1.118571957,2.072108986
1.33,-2.58,1.14,2.422916935,1.441900111
1.36,-2.48,1.21,1.789421709,1.828515206
1.39,-2.71,1.09,2.683716043,1.311091
1.4,-2.59,1.22,2.109520481,1.759851939
1.43,-2.49,1.26,1.446571863,2.078617982
1.48,-2.83,1.16,2.703362593,1.463355274
1.48,-2.76,1.25,2.427362257,1.737469956
1.51,-2.63,1.29,1.725945669,2.094762099
1.59,-2.8,1.33,2.122952045,2.088748638
1.61,-2.7,1.38,1.430020076,2.334436556
1.62,-2.99,1.27,2.697440431,1.764428624
1.67,-2.95,1.36,2.400221035,2.099525187
1.69,-2.83,1.4,1.721250778,2.344587822
1.76,-2.99,1.43,2.16335709,2.323114715
1.79,-3.17,1.39,2.689764013,2.10691331
1.8,-3.05,1.45,2.247809044,2.349245908
1.84,-3.12,1.46,2.384890194,2.352451322
1.86,-3.25,1.44,2.697933508,2.220281615
1.89,-3.22,1.48,2.545288076,2.354415126
